occ2,occ.code,occ.title,"Digital Score, 2002","Digital Score, 2016",ScoreChange,Education Requirement,Digital Skill level_2002,Digital Skill level_2016,high02,medium02,low02,high16,medium16,low16,tot_emp2002,tot_emp2010,tot_emp16,a_mean02,a_mean10,a_mean16,a_median02,a_median10,a_median16
17,17_2071,Electrical Engineers,77.65824663,76.5446615,-1.113585131,Bachelor Degree,3,3,1,0,0,1,0,0,146180,148770,183770,70480,87770,98620,68180,84540,94210
17,17_2072,"Electronics Engineers, Except Computer",67.28045987,89.72443105,22.44397118,Bachelor Degree,3,3,1,0,0,1,0,0,126020,133660,132100,71600,92730,103760,69930,90170,99210
17,17_2081,Environmental Engineers,56.39524499,64.21452039,7.819275394,Bachelor Degree,3,2,0,1,0,1,0,0,45720,49800,52280,63440,83160,88530,61410,78740,84890
17,17_2111,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",35.47757869,58.56701335,23.08943466,Bachelor Degree,2,2,0,1,0,0,1,0,34160,23390,25410,59830,78210,90190,58010,75430,86720
17,17_2112,Industrial Engineers,45.90513326,63.80421821,17.89908494,Bachelor Degree,3,2,0,1,0,1,0,0,151760,202990,256550,63590,78450,88530,62150,76100,84310
17,17_2121,Marine Engineers and Naval Architects,39.99163608,51.52572383,11.53408774,Advanced Degree,2,2,0,1,0,0,1,0,4810,5720,8120,68280,87770,99860,66650,79920,93350
17,17_2131,Materials Engineers,37.71366925,68.08938208,30.37571283,Bachelor Degree,3,2,0,1,0,1,0,0,22780,21830,26800,64310,85860,97050,62590,83120,93310
17,17_2141,Mechanical Engineers,69.87985227,69.75410914,-0.125743123,Bachelor Degree,3,3,1,0,0,1,0,0,203620,234400,285790,65170,82480,89800,62880,78160,84190
17,17_2151,"Mining and Geological Engineers, Including Mining Safety Engineers",32.63272814,64.351713,31.71898486,Bachelor Degree,3,1,0,0,1,1,0,0,5050,6270,6940,64770,87350,103010,61770,82870,93720
17,17_2161,Nuclear Engineers,54.5657454,75.62703086,21.06128546,Bachelor Degree,3,2,0,1,0,1,0,0,15180,18610,17680,82300,101500,105950,81350,99920,102220
